;userId;dishId;eventId;viewTime
0;1;a8ae3520-fd97-411e-a546-43b4346a50b1;VIEW;131
1;1;cb39f058-1a28-46f1-83e7-9a94fd8a33f1;VIEW;155
2;1;5bd9da49-231d-4f5b-8150-72785eff499a;VIEW;149
3;1;8a650b2b-8d28-4892-ac7a-4761f7932222;VIEW;112
4;1;5da5a91c-65e2-4283-b3ce-157851fd307c;VIEW;7
5;1;1dfc2b3e-b6e6-4ed3-bdb5-5268565df7a8;VIEW;225
6;1;1536e74c-f872-4892-b88f-c0a33cc1e6d4;VIEW;264
7;1;9396a4d8-4711-452e-8c5c-866f3a60da24;VIEW;234
8;1;34967d53-1a94-49fa-93e0-66dba13b6fba;VIEW;73
9;1;2439dd70-58a1-4690-ab29-6c97d055590d;VIEW;126
10;1;3c767b83-b0f7-4add-a8ab-373d9db37479;VIEW;199
11;1;3a3bfb95-db99-43cb-8fdc-6fdc4c882dce;VIEW;95
12;1;5959f56d-3ea7-40b2-9aaa-cc475b9b55fb;VIEW;251
13;1;1cd76a65-3b52-4b74-b80b-978c8ec09dcb;VIEW;196
14;1;c8887e4a-3bcb-403e-b1f6-1d3d31cb6181;VIEW;236
15;1;a53583cc-7b92-405b-9918-d02105545f18;VIEW;242
16;1;6e6892fb-19ee-4e12-9293-da250a58db58;VIEW;104
17;1;19a849e4-8bea-40f5-ba67-9658ca3a2db2;VIEW;46
18;1;7d864ea6-3a5c-49b3-bcc0-b20c1318002f;VIEW;244
19;1;84e6c821-d987-4b8b-958f-a7e4b24d92e2;VIEW;245
20;1;d03dc6de-293e-4771-a587-a775d6dc60c1;VIEW;160
21;1;c9562855-a68e-4b6e-9b7e-2a015cf903a1;VIEW;213
22;1;06e6ce06-e027-4efe-944e-6aca22832274;VIEW;176
23;1;6561925f-8c2b-44fe-b4fa-726cb0584891;VIEW;156
24;1;d639885d-51d9-4d0e-a5e1-04b85624a426;VIEW;116
25;1;beb4e5da-1688-4918-8521-4b1281967c87;VIEW;70
26;1;7cc41a65-2fe1-485c-ac84-fec41dcf5c35;VIEW;216
27;1;02b0ff40-cd1f-4a4e-9acc-fe4ab57c0a7d;VIEW;261
28;1;0896b2d5-1077-4c95-a2e8-b82c52b56b15;VIEW;292
29;1;12fb4345-6a37-4ac5-b88a-bb2c4ac445f6;VIEW;213
30;1;6b115dd8-627b-4ff5-8b82-6d82f1980ee2;VIEW;121
31;1;3118f660-c95d-4e98-bcfd-90b7e12087b5;VIEW;162
32;1;d1c3182b-20c2-48d8-922d-4af219d5736a;VIEW;294
33;1;2649e4df-a73f-4e0f-8fc2-89850acf90d1;VIEW;47
34;1;08b00811-b8e7-4e67-a743-ebfea7df98b5;VIEW;69
35;1;84260331-46ef-4019-8d0c-b9f6b616ace9;VIEW;30
36;1;0943509f-7e1b-4895-bad0-160c64eee486;VIEW;293
37;1;5db9068a-bf55-45b6-8fa1-12d3ff93dc89;VIEW;123
38;1;86e457a0-0fec-4cbd-9867-b9ef395e32cc;VIEW;232
39;1;e9444e90-12ce-4f38-ad55-58833aef7820;VIEW;296
40;1;3c18d3ce-c4fb-4372-9a28-d85f1d6ec1de;VIEW;199
41;1;75544d47-db08-4961-939b-cd9a4bb80421;VIEW;53
42;1;4335ff43-68ce-463c-b43c-be40f34d15c2;VIEW;114
43;1;504a23da-0c63-41a5-9fc1-4c3e3554cd3a;VIEW;39
44;1;32771a2d-a2a7-45d2-a590-3832f78e04f3;VIEW;21
45;1;693b928c-dc8f-42cf-af9a-aa28d24e9ee0;VIEW;15
46;1;76b76086-01c1-47f6-b3e2-aadb53529ead;VIEW;201
47;1;d487a568-74cd-4b6f-85c6-f3d52cf8e5e3;VIEW;237
48;1;5485596d-4af6-4a36-9eb9-da7cea109489;VIEW;277
49;1;3d2dd152-8645-4dad-9d92-c9a53dc04c6e;VIEW;214
50;1;c3665588-c930-41d0-8d1c-64a2bd520d0f;VIEW;233
51;1;78972c6c-0f23-4e3b-9cf3-c4606672e1eb;VIEW;82
52;1;054a2d19-b4f4-4350-b7a3-f420fba22bfc;VIEW;227
53;1;6b94eef6-58e8-49dc-b983-d43efc595cbb;VIEW;64
54;1;b304ada7-be22-4db3-8dd9-7323d6305e12;VIEW;227
55;1;398a91eb-f3bf-4ca5-99bc-245c0b81c5d4;VIEW;76
56;1;a8777b33-ade3-4c58-bfe1-36f70e96739a;VIEW;218
57;1;8f0a1983-0609-41da-ace6-65369a8cf77f;VIEW;75
58;1;150df204-1847-453b-9c8f-382e324b81f5;VIEW;34
59;1;ed5db26e-83ea-4fc3-be23-b6620f0d1386;VIEW;157
60;1;a970de1a-20eb-434a-91c3-10a54d671f26;VIEW;247
61;1;28e1cf55-819b-4915-8511-87d3eedc256d;VIEW;147
62;1;7b6e3db6-e3ff-459c-b649-03740d0fbfdd;VIEW;108
63;1;4ab21505-7480-4375-bdf6-c326b1cf415a;VIEW;258
64;1;4a06c21f-8cb3-4dba-84b0-20936f5093f8;VIEW;226
65;1;d5c7c506-6b3c-430a-b258-b5d6718a9a29;VIEW;169
66;1;06e42105-75ce-47f6-a192-bb858c4ef306;VIEW;185
67;1;cdbb9f43-6768-4ed2-adf2-23c5979ba280;VIEW;157
68;1;9fb12531-3f1a-4ae8-9c3c-8ce453b3cf61;VIEW;168
69;1;d2454d44-99b0-4993-991c-19efa57da32b;VIEW;43
70;1;8e6db7e0-25da-4a0d-b091-d7ba0154a32b;VIEW;115
71;1;aa4b1a50-9468-4673-914f-76d82df10ef7;VIEW;251
72;1;1206eb0d-6d51-4350-90e4-56dab59daa76;VIEW;42
73;1;9885fb61-ac60-4eb6-9391-347a8a9caa2b;VIEW;201
74;1;f1cb0cbf-ce3d-469f-8e86-e6a565cd02e7;VIEW;257
75;1;2f2f367a-f6f9-46a6-a78f-edabc0d5a2d5;VIEW;213
